Iteration,Average Distance
148,4.809445511265033
149,4.809454799735544
150,4.809462785779585
151,4.8094696523456895
152,4.809475556512891
153,4.809480633212393
154,4.809484998393122
155,4.809488751720481
156,4.809491978881501
157,4.809494753556943
158,4.809497139110631
159,4.8094991900380695
160,4.809500953209707
161,4.809502468938652
162,4.809503771898117
163,4.809504891910056
164,4.809505854623287
165,4.809506682096737
166,4.809507393301132
167,4.809508004550624
168,4.809508529874142
169,4.809508981334893
170,4.809509369305282
171,4.809509702703443
172,4.80950998919675
173,4.809510235376899
174,4.809510446910549
175,4.809510628668902
176,4.809510784839169
177,4.809510919020459
178,4.809511034306236
179,4.809511133355261
180,4.809511218452578
181,4.80951129156198
182,4.809511354371104
183,4.809511408330217
184,4.8095114546855715
185,4.809511494508056
186,4.809511528717865
187,4.809511558105661
188,4.809511583350807
189,4.809511605037012
190,4.809511623665786
191,4.809511639668013
192,4.809511653413884
193,4.809511665221438
194,4.809511675363909
195,4.809511684076034
196,4.809511691559466
197,4.809511697987446
198,4.809511703508794
199,4.809511708251354
200,4.80951171232495
201,4.809511715823924
202,4.809511718829313
203,4.809511721410735
204,4.8095117236279865
205,4.809511725532434
206,4.809511727168199
207,4.809511728573184
208,4.809511729779942
209,4.809511730816438
210,4.809511731706691
211,4.809511732471334
212,4.809511733128084
213,4.809511733692168
214,4.809511734176657
215,4.809511734592783
216,4.809511734950188
217,4.809511735257162
218,4.809511735520819
219,4.80951173574727
220,4.809511735941767
221,4.809511736108815
222,4.809511736252291
223,4.809511736375519
224,4.809511736481359
225,4.8095117365722615
226,4.809511736650335
227,4.8095117367173925
228,4.809511736774986
229,4.809511736824451
230,4.809511736866935
231,4.809511736903424
232,4.809511736934764
233,4.80951173696168
234,4.809511736984797
235,4.809511737004653
236,4.809511737021706
237,4.809511737036353
238,4.809511737048932
239,4.8095117370597364
240,4.809511737069014
241,4.809511737076985
242,4.809511737083829
243,4.809511737089709
244,4.809511737094758
245,4.809511737099094
246,4.809511737102819
247,4.8095117371060185
248,4.809511737108766
249,4.809511737111126
250,4.8095117371131515
251,4.809511737114892
252,4.809511737116387
253,4.8095117371176705
254,4.809511737118774
255,4.809511737119722
256,4.809511737120534
257,4.809511737121234
258,4.809511737121833
259,4.809511737122348
260,4.809511737122791
261,4.809511737123172
262,4.809511737123498
263,4.809511737123778
264,4.809511737124019
265,4.809511737124226
266,4.809511737124402
267,4.809511737124556
268,4.809511737124687
269,4.809511737124799
270,4.809511737124896
271,4.80951173712498
272,4.80951173712505
273,4.809511737125113
274,4.809511737125163
275,4.809511737125209
276,4.8095117371252485
277,4.809511737125281
278,4.809511737125311
279,4.809511737125335
280,4.809511737125356
281,4.809511737125374
282,4.809511737125391
283,4.809511737125404
284,4.809511737125415
285,4.809511737125424
286,4.809511737125432
287,4.809511737125441
288,4.809511737125447
289,4.809511737125451
290,4.809511737125456
291,4.809511737125461
292,4.809511737125463
293,4.809511737125467
294,4.80951173712547
295,4.809511737125472
296,4.809511737125472
297,4.809511737125475
298,4.809511737125476
299,4.809511737125478
300,4.809511737125478
301,4.809511737125479
302,4.80951173712548
303,4.80951173712548
304,4.809511737125481
305,4.809511737125482
306,4.809511737125482
307,4.809511737125484
308,4.809511737125483
309,4.809511737125483
310,4.809511737125483
311,4.809511737125483
312,4.809511737125484
313,4.809511737125484
314,4.809511737125483
315,4.809511737125483
